Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.44,1.07,0.46,4.17,0.0,0.0,-0.3,0.11,3.11
12M 2009,1.44,1.14,0.1,3.72,0.0,0.0,-0.69,0.03,2.65
12M 2010,1.41,1.17,0.29,3.49,0.0,0.0,-0.39,0.08,2.43
12M 2011,1.14,0.97,0.22,4.02,0.0,0.0,-0.38,0.05,2.95
12M 2012,1.1,0.93,0.49,4.25,0.0,0.0,-0.1,0.11,3.16
12M 2013,1.1,0.94,0.57,4.27,0.0,0.0,0.1,0.13,3.18
12M 2014,1.12,1.03,0.62,3.99,0.0,0.0,0.05,0.16,2.74
12M 2015,1.19,1.09,0.75,4.48,0.0,0.0,0.16,0.17,3.24
12M 2016,1.48,1.39,0.49,2.74,0.0,0.0,-0.33,0.18,1.64
12M 2017,1.34,1.28,0.62,3.62,0.0,0.0,-0.27,0.17,2.46
12M 2018,1.54,1.33,0.49,4.0,0.0,0.0,-0.45,0.12,2.84
12M 2019,1.39,1.17,0.42,3.76,0.0,0.0,-0.2,0.11,2.6
12M 2020,1.09,0.86,1.38,4.98,0.0,0.0,0.29,0.28,3.76
12M 2021,1.01,0.71,2.03,5.32,0.0,0.0,1.5,0.38,3.98
12M 2022,1.1,0.76,2.44,5.79,0.0,0.0,2.0,0.42,4.44
12M 2023,0.8,0.5,6.11,11.48,0.0,0.0,5.55,0.53,9.81
12M 2024,1.59,0.98,3.81,7.17,0.0,0.0,3.44,0.53,5.83
