Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,289 B,(143 B),146 B,37.65
12M 2009,115 B,(94 B),21 B,5.38
12M 2010,170 B,(134 B),36 B,9.30
12M 2011,347 B,(160 B),187 B,48.03
12M 2012,224 B,(92 B),132 B,34.02
12M 2013,471 B,(142 B),329 B,84.68
12M 2014,254 B,(54 B),200 B,51.46
12M 2015,316 B,(27 B),290 B,74.50
12M 2016,178 B,(68 B),110 B,28.16
12M 2017,229 B,(24 B),205 B,52.82
12M 2018,22 B,(40 B),(18 B),-4.75
12M 2019,131 B,(68 B),64 B,16.34
12M 2020,(23 B),(20 B),(43 B),-11.06
12M 2021,19 B,(14 B),5 B,1.28
12M 2022,(58 B),(17 B),(76 B),-19.44
12M 2023,(26 B),(16 B),(42 B),-10.69
12M 2024,30 B,(7 B),23 B,5.97
