Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,1.1,1.05,5.65,5.74,0.0,0.0,4.9,0.98,4.58
12M 2013,1.09,1.01,2.01,2.71,0.0,0.0,1.74,0.74,1.65
12M 2014,1.47,1.31,2.08,3.07,0.0,0.0,1.76,0.68,1.91
12M 2015,1.59,1.41,1.95,3.15,0.0,0.0,1.63,0.62,1.99
12M 2016,1.29,1.13,1.94,3.06,0.0,0.0,1.68,0.63,1.9
12M 2017,1.47,1.22,0.76,2.15,0.0,0.0,0.48,0.35,1.13
12M 2018,2.13,1.9,0.05,1.38,0.0,0.0,-0.42,0.04,0.37
12M 2019,2.01,1.69,0.06,1.35,0.0,0.0,-0.19,0.05,0.32
12M 2020,1.54,1.4,0.13,1.46,0.0,0.0,-0.13,0.09,0.46
12M 2021,1.44,1.37,0.19,1.58,0.0,0.0,-0.11,0.12,0.58
12M 2022,1.88,1.69,0.0,1.44,0.0,0.0,-0.32,0.0,0.44
12M 2023,1.88,1.73,0.0,1.41,0.0,0.0,-0.28,0.0,0.41
12M 2024,1.74,1.54,0.0,1.43,0.0,0.0,-0.3,0.0,0.43
