Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.00 B,290236.99,0.00,0.00,,4.12%,23.64%,28.77%,3.70
12M 2013,4.46 B,117.97,10.85,0.41,,4.69%,12.70%,15.11%,4.33
12M 2014,4.46 B,109.16,7.24,0.22,,3.49%,10.73%,10.53%,3.09
12M 2015,4.46 B,63.85,7.66,0.13,,1.97%,6.21%,7.07%,2.20
12M 2016,4.46 B,80.83,10.14,0.21,,2.42%,7.40%,8.00%,2.50
12M 2017,4.46 B,86.13,11.26,0.27,,3.95%,8.50%,8.81%,1.82
12M 2018,4.46 B,820.14,1.10,0.25,878.32 B,30.65%,42.44%,5.85%,1.06
12M 2019,4.46 B,97.04,6.85,0.18,871.88 B,4.53%,6.11%,6.45%,18.54
12M 2020,4.46 B,26.51,18.63,0.20,668.13 B,1.28%,1.87%,4.53%,5.54
12M 2021,4.46 B,92.26,12.41,0.40,841.93 B,4.17%,6.58%,6.29%,8.49
12M 2022,4.46 B,148.27,7.55,0.39,727.47 B,7.44%,10.70%,7.14%,303.73
12M 2023,4.46 B,117.77,8.92,0.34,567.31 B,6.11%,8.60%,6.97%,296.90
12M 2024,4.46 B,130.51,7.55,0.28,753.75 B,6.57%,9.38%,9.83%,399.61
