Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,56 B,(3 B),53 B,43.51
12M 2009,31 B,(2 B),29 B,23.71
12M 2010,103 B,(2 B),101 B,70.03
12M 2011,154 B,(2 B),152 B,52.91
12M 2012,200 B,(57 B),143 B,49.66
12M 2013,97 B,(9 B),88 B,30.22
12M 2014,20 B,(22 B),(2 B),-0.57
12M 2015,29 B,(7 B),22 B,4.44
12M 2016,(49 B),(11 B),(61 B),-12.15
12M 2017,72 B,9 B,81 B,16.15
12M 2018,8 B,(2 B),6 B,1.11
12M 2019,278 B,(6 B),272 B,54.40
12M 2020,84 B,(6 B),78 B,15.60
12M 2021,41 B,(11 B),30 B,6.01
12M 2022,230 B,(3 B),226 B,45.27
12M 2023,151 B,(12 B),139 B,27.82
12M 2024,84 B,(5 B),78 B,15.64
