Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.00,4090977.62,0.00,4090977.62,,,,,156 B
12M 2011,0.00,7630516.35,0.00,7630516.35,,,,,(77 B)
12M 2012,2.67,180.94,2.67,180.94,,,,,(41 B)
12M 2013,1.64,219.72,1.64,219.72,,,,,41 B
12M 2014,2.03,236.06,2.03,236.06,,,,,(66 B)
12M 2015,1.79,236.84,1.79,236.84,,,,,(701 B)
12M 2016,1.40,326.62,1.40,326.62,,,,,730 B
12M 2017,1.52,216.23,1.52,216.23,,,,,(148 B)
12M 2018,1.15,226.42,1.15,226.42,,,,,52 B
12M 2019,0.69,290.38,0.69,290.38,,,,,(5 B)
12M 2020,0.64,540.90,0.64,540.90,,,,,(2 B)
12M 2021,1.06,818.55,1.06,818.55,,,,,430 B
12M 2022,0.78,809.46,0.78,809.46,,,,,95 B
12M 2023,1.81,345.62,1.81,345.62,,,,,"(6,257 B)"
12M 2024,1.69,259.46,1.69,259.46,,,,,"(3,666 B)"
