Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,117 B,(471 B),(354 B),-2493149.70
12M 2012,5 B,(368 B),(364 B),-73.77
12M 2013,(59 B),(367 B),(427 B),-60.59
12M 2014,62 B,(558 B),(496 B),-69.65
12M 2015,(53 B),(418 B),(471 B),-66.15
12M 2016,40 B,(130 B),(89 B),-12.54
12M 2017,94 B,(89 B),5 B,0.72
12M 2018,(76 B),(80 B),(156 B),-21.91
12M 2019,(35 B),(35 B),(70 B),-9.80
12M 2020,55 B,(28 B),27 B,3.75
12M 2021,145 B,(20 B),124 B,17.43
12M 2022,(372 B),(2 B),(374 B),-52.48
12M 2023,"(2,732 B)",(2 B),"(2,734 B)",-383.95
12M 2024,"(4,601 B)",(3 B),"(4,604 B)",-291.88
