Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,-0.77,-0.77,0.17
12M 2011,62.54,11.99,77.88,-3.35,5.84,3.66,30.45,24.5,0.45,0.43,0.36,0.32,4.98,4.98,1.29
12M 2012,,,,,,,,,,,,,,,0.0
12M 2013,19.39,4.11,60.72,-37.22,18.83,8.42,88.73,22.07,0.8,0.35,0.37,0.17,1.84,1.84,1.86
12M 2014,45.52,12.74,137.09,-78.83,8.02,7.33,28.65,20.67,0.36,0.36,0.19,0.19,20.88,20.88,1.05
12M 2015,75.92,16.42,158.16,-65.82,4.81,3.42,22.23,19.89,0.4,0.37,0.25,0.23,9.46,9.46,1.11
12M 2016,101.1,15.54,133.42,-16.78,3.61,4.33,23.48,25.42,0.33,0.3,0.23,0.21,11.17,11.17,1.1
12M 2017,70.11,22.26,121.08,-28.71,5.21,5.49,16.4,12.9,0.32,0.29,0.23,0.21,244.32,244.32,1.0
12M 2018,65.39,16.25,81.83,-0.19,5.58,4.88,22.46,18.99,0.38,0.37,0.27,0.25,4.06,4.06,1.32
12M 2019,70.03,19.57,71.18,18.42,5.21,5.37,18.65,13.03,0.35,0.32,0.23,0.21,2.21,2.21,1.54
12M 2020,46.91,13.27,49.57,10.61,7.78,7.11,27.51,23.31,0.42,0.35,0.29,0.25,1285.89,1285.89,1.0
12M 2021,60.22,13.52,70.22,3.52,6.06,7.51,27.0,17.55,0.33,0.32,0.25,0.25,-1.28,-1.28,0.39
12M 2022,88.08,24.45,145.62,-33.09,4.14,4.16,14.93,15.53,0.32,0.39,0.23,0.28,-2.73,-2.73,0.66
12M 2023,84.78,21.78,157.23,-50.67,4.31,4.4,16.76,19.68,0.64,0.64,0.39,0.4,-4.0,-4.0,0.7
12M 2024,95.25,16.53,117.48,-5.7,3.83,4.68,22.08,15.41,0.7,0.76,0.39,0.41,-3.32,-3.32,0.65
