Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,11.00 B,0.60,0.00,0.00,,0.23%,0.42%,3.18%,1.37
12M 2011,17.65 B,-53.30,-1.88,1.95,,-43.79%,-76.65%,6.18%,2.48
12M 2012,,,0.00,0.00,,0.00%,0.00%,0.00%,
12M 2013,17.65 B,-28.80,-1.74,1.53,,-16.27%,-41.02%,1.66%,0.17
12M 2014,17.65 B,-11.32,-4.42,1.65,,-7.79%,-18.04%,1.99%,0.52
12M 2015,2.43 B,55.10,1.18,0.23,,4.69%,9.48%,9.59%,2.00
12M 2016,2.43 B,2.66,46.62,0.44,,0.20%,0.49%,4.70%,1.14
12M 2017,4.85 B,23.56,5.98,0.79,,2.71%,5.84%,9.28%,2.35
12M 2018,7.30 B,26.38,4.44,0.70,623.10 B,4.03%,7.32%,10.42%,2.71
12M 2019,11.37 B,26.14,6.20,1.28,769.48 B,3.88%,7.97%,9.40%,2.14
12M 2020,12.89 B,40.70,8.60,1.59,"1,747.31 B",4.49%,10.92%,16.23%,2.25
12M 2021,13.43 B,-242.86,-0.98,1.25,926.08 B,-37.96%,-209.44%,6.41%,0.71
12M 2022,14.12 B,-46.34,-3.84,1.48,445.18 B,-11.11%,-35.97%,4.22%,0.35
12M 2023,14.12 B,30.21,5.10,0.96,"1,089.70 B",7.38%,19.10%,21.24%,2.51
12M 2024,14.12 B,15.44,7.77,0.76,,3.83%,8.52%,17.10%,2.26
