Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,268 B,(22 B),246 B,22.33
12M 2011,192 B,(139 B),53 B,2.98
12M 2012,,,,0.00
12M 2013,140 B,(8 B),132 B,7.49
12M 2014,68 B,(164 B),(96 B),-5.45
12M 2015,40 B,(108 B),(68 B),-28.11
12M 2016,64 B,(175 B),(111 B),-45.63
12M 2017,263 B,(686 B),(423 B),-87.16
12M 2018,299 B,(6 B),292 B,40.05
12M 2019,569 B,"(1,215 B)",(645 B),-56.76
12M 2020,"1,005 B","(3,515 B)","(2,509 B)",-194.62
12M 2021,610 B,"(1,105 B)",(495 B),-36.87
12M 2022,(202 B),(2 B),(204 B),-14.45
12M 2023,501 B,(282 B),219 B,15.50
12M 2024,615 B,(376 B),239 B,16.93
