Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,0.00 B,82998.05,0.00,0.00,,5.25%,7.61%,10.11%,
12M 2015,1.45 B,11.70,8.89,4.67,,8.06%,10.31%,8.34%,
12M 2016,1.45 B,5.51,14.88,3.12,,3.42%,4.78%,3.70%,
12M 2017,1.45 B,6.07,31.14,6.02,,3.48%,4.64%,4.25%,
12M 2018,1.45 B,2.72,46.32,4.93,10.90 B,1.51%,2.20%,4.07%,
12M 2019,1.46 B,14.97,8.22,3.70,22.20 B,7.67%,11.70%,7.96%,
12M 2020,1.46 B,4.25,21.41,3.58,8.05 B,1.93%,3.37%,2.08%,
12M 2021,1.46 B,8.43,19.34,5.31,13.27 B,3.45%,5.12%,3.40%,
12M 2022,1.46 B,5.93,30.02,6.19,10.40 B,2.92%,4.64%,2.60%,
12M 2023,1.46 B,4.44,33.78,3.80,7.71 B,2.67%,4.22%,2.14%,
12M 2024,1.46 B,4.80,22.71,2.57,7.90 B,2.88%,4.61%,2.58%,
