Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(168 B),(135 B),(302 B),-20024.39
12M 2009,"1,379 B",(348 B),"1,032 B",118.39
12M 2010,"(2,833 B)",(336 B),"(3,169 B)",-363.61
12M 2011,"4,799 B",(299 B),"4,501 B",509.34
12M 2012,"1,832 B",(352 B),"1,479 B",142.84
12M 2013,"(3,296 B)",(219 B),"(3,515 B)",-332.71
12M 2014,"(2,049 B)",(191 B),"(2,240 B)",-212.01
12M 2015,"1,708 B",(263 B),"1,445 B",136.55
12M 2016,"9,784 B",(286 B),"9,498 B",896.91
12M 2017,321 B,(397 B),(76 B),-7.15
12M 2018,"(2,410 B)",(527 B),"(2,937 B)",-277.35
12M 2019,"(14,828 B)",(367 B),"(15,195 B)",-1434.84
12M 2020,"26,533 B",(798 B),"25,735 B",2430.10
12M 2021,"9,552 B",(415 B),"9,136 B",862.74
12M 2022,"1,265 B","(1,042 B)",223 B,21.02
12M 2023,"6,634 B","(2,313 B)","4,321 B",307.88
12M 2024,"(8,756 B)","(1,635 B)","(10,390 B)",-740.33
