Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.02 B,28520.41,0.00,0.00,,0.96%,13.98%,2.98%,
12M 2009,8.71 B,58.09,13.89,1.23,,0.87%,9.27%,1.43%,
12M 2010,8.71 B,105.11,15.00,2.11,,1.34%,14.21%,1.99%,
12M 2011,8.84 B,126.60,9.19,1.36,,1.26%,15.28%,1.94%,
12M 2012,10.36 B,131.70,11.01,1.70,,1.22%,13.27%,1.86%,
12M 2013,10.56 B,147.86,5.88,0.85,,1.19%,13.52%,1.76%,
12M 2014,10.57 B,105.57,11.41,0.99,,0.77%,9.14%,1.12%,
12M 2015,10.58 B,174.91,7.40,0.92,,1.08%,13.35%,1.60%,
12M 2016,10.59 B,247.30,7.04,1.08,,1.22%,13.69%,1.74%,
12M 2017,10.59 B,285.88,12.49,1.96,,1.16%,13.98%,1.64%,
12M 2018,10.59 B,265.15,9.58,1.23,"3,857.68 B",0.92%,11.78%,1.27%,
12M 2019,10.59 B,19.76,107.29,0.87,836.00 B,0.07%,0.88%,0.17%,
12M 2020,10.59 B,151.31,11.40,0.73,"2,859.05 B",0.44%,8.02%,0.69%,
12M 2021,10.59 B,224.38,7.71,0.71,"3,592.87 B",0.64%,11.10%,0.83%,
12M 2022,10.59 B,287.54,4.69,0.55,"4,443.86 B",0.76%,11.75%,0.99%,
12M 2023,14.03 B,249.46,5.01,0.62,"5,256.45 B",0.80%,11.49%,1.08%,
12M 2024,14.03 B,214.28,5.32,0.54,"4,556.19 B",0.64%,9.23%,0.84%,
