Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(7 B),(2 B),(9 B),-9.96
12M 2009,(153 B),(16 B),(169 B),-197.37
12M 2010,(151 B),(60 B),(211 B),-35.38
12M 2011,503 B,(243 B),260 B,28.11
12M 2012,64 B,(31 B),33 B,3.07
12M 2013,(295 B),(13 B),(308 B),-28.63
12M 2014,142 B,(5 B),138 B,12.79
12M 2015,(734 B),(2 B),(737 B),-68.52
12M 2016,(765 B),(14 B),(779 B),-12.15
12M 2017,478 B,(32 B),446 B,6.96
12M 2018,879 B,(42 B),837 B,13.06
12M 2019,"(1,287 B)",(21 B),"(1,308 B)",-20.41
12M 2020,"(1,967 B)",(17 B),"(1,984 B)",-309.52
12M 2021,631 B,(8 B),623 B,12.00
12M 2022,(602 B),(7 B),(609 B),-11.74
12M 2023,(342 B),(2 B),(344 B),-6.64
12M 2024,201 B,(3 B),198 B,3.81
