Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,9.13 B,1.31,0.00,0.00,,0.83%,1.30%,1.47%,23.92
12M 2014,9.13 B,11.62,0.00,0.00,,3.89%,10.29%,9.48%,10.85
12M 2015,14.04 B,21.38,8.23,1.64,,5.65%,11.94%,14.51%,11.39
12M 2016,14.04 B,26.02,52.31,8.89,,4.14%,12.95%,10.42%,8.90
12M 2017,61.68 B,7.21,26.21,4.30,,3.54%,9.30%,7.41%,8.68
12M 2018,61.68 B,7.64,15.31,2.82,586.58 B,2.86%,8.94%,5.16%,8.17
12M 2019,61.68 B,5.56,12.23,1.67,598.59 B,1.75%,6.18%,4.34%,6.85
12M 2020,61.68 B,1.44,65.28,2.79,288.05 B,0.48%,2.22%,2.23%,2.71
12M 2021,61.68 B,0.33,175.76,4.15,59.44 B,0.10%,0.51%,0.32%,0.30
12M 2022,61.68 B,0.32,156.25,1.81,227.63 B,0.09%,0.50%,1.37%,1.55
12M 2023,61.68 B,-20.75,-2.41,1.56,26.01 B,-6.50%,-47.60%,-0.03%,
12M 2024,61.68 B,-17.67,-1.19,2.82,(36.04 B),-5.97%,-68.07%,-0.81%,-0.07
