Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,86 B,(153 B),(67 B),-541401.46
12M 2010,254 B,(637 B),(383 B),-107.85
12M 2011,198 B,(595 B),(397 B),-111.88
12M 2012,279 B,(451 B),(171 B),-55.84
12M 2013,593 B,(925 B),(332 B),-90.42
12M 2014,783 B,(725 B),58 B,14.45
12M 2015,514 B,(190 B),325 B,80.37
12M 2016,439 B,(69 B),370 B,91.55
12M 2017,253 B,(69 B),185 B,45.70
12M 2018,235 B,(43 B),192 B,45.29
12M 2019,39 B,(29 B),10 B,2.41
12M 2020,91 B,(19 B),71 B,16.82
12M 2021,101 B,(56 B),45 B,10.43
12M 2022,201 B,(243 B),(42 B),-9.60
12M 2023,357 B,(217 B),140 B,32.12
12M 2024,369 B,(588 B),(219 B),-50.22
