Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.00 B,822972.16,0.00,0.00,,11.48%,20.46%,27.02%,5.22
12M 2010,3.55 B,37.73,8.53,1.71,,6.43%,12.72%,11.61%,4.40
12M 2011,3.55 B,37.30,8.90,1.15,,5.55%,11.15%,10.51%,5.76
12M 2012,3.07 B,63.63,7.59,1.24,,5.96%,13.08%,11.38%,5.04
12M 2013,3.67 B,89.90,7.62,1.10,,6.41%,14.94%,15.74%,5.49
12M 2014,4.03 B,66.99,12.32,1.51,,4.33%,10.00%,11.45%,3.79
12M 2015,4.04 B,-18.88,-8.85,0.50,,-1.24%,-2.61%,-0.20%,-0.08
12M 2016,4.04 B,-52.85,-4.16,0.75,,-3.96%,-8.10%,-3.29%,-1.52
12M 2017,4.04 B,-89.84,-3.27,1.43,,-7.91%,-15.86%,-8.69%,-3.69
12M 2018,4.24 B,-85.54,-2.57,1.04,7.86 B,-9.10%,-16.80%,-10.62%,-4.88
12M 2019,4.24 B,-44.45,-2.70,0.64,167.69 B,-5.48%,-9.98%,-5.93%,-2.53
12M 2020,4.24 B,-42.44,-2.52,0.72,89.48 B,-5.79%,-10.31%,-5.07%,-2.58
12M 2021,4.35 B,0.60,320.00,1.38,234.27 B,0.09%,0.15%,1.65%,1.38
12M 2022,4.36 B,3.79,86.02,1.57,220.55 B,0.56%,0.83%,1.51%,1.89
12M 2023,4.36 B,23.35,17.13,1.58,322.22 B,3.38%,4.89%,4.63%,6.70
12M 2024,4.37 B,81.65,5.39,1.47,781.25 B,9.49%,14.21%,18.43%,30.31
