Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,2.64 B,38.10,0.00,0.00,,4.99%,8.79%,12.36%,4.35
12M 2015,2.64 B,22.19,31.55,1.55,,2.94%,4.89%,9.07%,3.06
12M 2016,2.64 B,24.68,30.39,1.23,,2.88%,5.35%,9.24%,2.67
12M 2017,2.64 B,68.39,22.66,1.67,,5.15%,11.67%,14.38%,3.80
12M 2018,2.64 B,212.67,8.93,1.07,774.41 B,12.72%,28.68%,33.30%,6.54
12M 2019,2.64 B,186.34,7.51,0.61,791.26 B,10.38%,20.23%,27.96%,8.30
12M 2020,2.64 B,160.43,6.89,0.73,734.92 B,8.51%,14.96%,21.16%,5.64
12M 2021,2.64 B,180.34,6.74,0.83,732.21 B,9.11%,14.42%,18.12%,5.06
12M 2022,2.64 B,170.62,7.03,0.76,676.71 B,7.20%,11.84%,13.60%,8.62
12M 2023,2.64 B,261.64,4.20,0.57,851.89 B,8.24%,15.39%,13.58%,10.86
12M 2024,2.64 B,196.88,4.50,0.64,617.56 B,5.68%,10.30%,7.73%,6.29
