Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,(63 B),(24 B),(87 B),-33.12
12M 2015,246 B,(18 B),229 B,86.61
12M 2016,26 B,(34 B),(7 B),-2.83
12M 2017,168 B,(130 B),38 B,14.39
12M 2018,105 B,(174 B),(69 B),-25.96
12M 2019,378 B,(50 B),328 B,124.09
12M 2020,732 B,(53 B),678 B,256.86
12M 2021,589 B,(48 B),541 B,204.91
12M 2022,206 B,(81 B),124 B,47.07
12M 2023,"1,097 B",(56 B),"1,041 B",394.07
12M 2024,354 B,(313 B),41 B,15.51
