Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,25 B,(10 B),15 B,12.29
12M 2009,461 B,(5 B),455 B,364.29
12M 2010,(98 B),(6 B),(104 B),-83.21
12M 2011,25 B,(16 B),9 B,7.47
12M 2012,(461 B),(13 B),(475 B),-352.87
12M 2013,(270 B),(12 B),(282 B),-206.63
12M 2014,(420 B),(32 B),(452 B),-112.90
12M 2015,887 B,(91 B),795 B,169.62
12M 2016,"(1,018 B)",(67 B),"(1,085 B)",-198.31
12M 2017,"(1,740 B)",(61 B),"(1,801 B)",-328.99
12M 2018,90 B,(51 B),39 B,1.01
12M 2019,(394 B),(45 B),(439 B),-11.28
12M 2020,"1,710 B",(35 B),"1,675 B",42.13
12M 2021,"1,686 B",(29 B),"1,657 B",38.89
12M 2022,924 B,(34 B),889 B,20.87
12M 2023,40 B,"(1,005 B)",(965 B),0.00
12M 2024,"1,612 B",9 B,"1,622 B",38.06
