Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.67,297.98,1.67,297.98,,,,,
12M 2009,1.64,303.50,1.64,303.50,,,,,
12M 2010,1.61,373.49,1.63,370.42,,,,,
12M 2011,1.34,412.68,1.35,408.29,,,,,
12M 2012,2.79,576.82,2.81,572.22,,,,,
12M 2013,1.60,827.71,1.61,821.16,,,,,
12M 2014,1.26,777.27,1.43,686.30,,,,,
12M 2015,1.91,884.89,2.09,807.23,,,,,
12M 2016,1.54,961.67,1.58,935.97,,,,,
12M 2017,1.75,892.64,1.89,826.10,,,,,
12M 2018,1.16,130.45,1.25,121.00,,,,,
12M 2019,1.19,126.33,1.28,116.97,,,,,
12M 2020,1.17,115.85,1.27,106.56,,,,,
12M 2021,0.51,120.92,0.55,112.25,,,,,
12M 2022,0.63,125.62,0.70,112.75,,,,,
12M 2023,0.34,146.43,0.38,132.91,,,,,
12M 2024,0.40,137.64,0.44,123.66,,,,,
