Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.38,134.93,0.38,134.93,,,,,
12M 2009,0.44,116.96,0.44,116.96,,,,,
12M 2010,0.55,185.25,0.55,185.25,,,,,
12M 2011,0.47,236.82,0.47,236.82,,,,,
12M 2012,0.57,294.05,0.57,294.05,,,,,
12M 2013,0.53,362.89,0.53,362.89,,,,,
12M 2014,0.48,455.38,0.48,455.38,,,,,
12M 2015,0.20,446.09,0.20,446.09,,,,,
12M 2016,0.23,470.20,0.23,470.20,,,,,
12M 2017,0.18,468.85,0.18,468.85,,,,,
12M 2018,0.21,482.93,0.21,482.93,,,,,
12M 2019,0.19,417.83,0.19,417.83,,,,,
12M 2020,0.21,422.97,0.21,422.97,,,,,
12M 2021,0.24,468.97,0.24,468.97,,,,,
12M 2022,0.21,383.36,0.21,383.36,,,,,
12M 2023,0.17,392.37,0.17,392.37,,,,,
12M 2024,0.15,374.03,0.15,374.03,,,,,
