Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,2.56,19.54,2.56,19.54,2 B,74 B,75 B,75 B,60 B
12M 2012,1.21,45.45,1.21,45.45,2 B,73 B,75 B,72 B,74 B
12M 2013,0.91,55.99,0.91,55.99,77 B,2 B,79 B,75 B,11 B
12M 2014,3.10,64.46,3.10,64.46,57 B,20 B,77 B,70 B,47 B
12M 2015,1.38,76.98,1.38,76.98,47 B,17 B,64 B,58 B,49 B
12M 2016,1.97,80.10,1.97,80.10,56 B,14 B,70 B,63 B,53 B
12M 2017,1.22,86.71,1.22,86.71,106 B,7 B,113 B,95 B,62 B
12M 2018,1.03,98.07,1.03,98.07,123 B,,123 B,120 B,63 B
12M 2019,0.94,106.01,0.94,106.01,100 B,,100 B,93 B,75 B
12M 2020,0.79,104.07,0.79,104.07,90 B,,90 B,82 B,61 B
12M 2021,0.84,113.77,0.84,113.77,84 B,,84 B,76 B,82 B
12M 2022,0.72,127.15,0.72,127.15,83 B,,83 B,67 B,107 B
12M 2023,0.50,134.80,0.50,134.80,85 B,,85 B,70 B,121 B
12M 2024,0.40,143.44,0.40,143.44,94 B,,94 B,68 B,137 B
