Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,3.32,1.31,2.07,4.46,0.0,0.0,2.06,0.47,3.45
12M 2012,3.71,1.51,0.89,2.63,0.0,0.0,0.86,0.34,1.63
12M 2013,1.09,0.53,0.76,2.45,0.0,0.0,0.72,0.31,1.45
12M 2014,1.52,0.72,0.65,2.26,0.0,0.0,0.59,0.29,1.26
12M 2015,1.5,0.87,0.44,2.11,0.0,0.0,0.41,0.21,1.11
12M 2016,1.44,0.84,0.47,2.21,0.0,0.0,0.42,0.21,1.21
12M 2017,1.41,0.79,0.7,2.27,0.0,0.0,0.59,0.31,1.27
12M 2018,1.36,0.71,0.68,2.22,0.0,0.0,0.66,0.3,1.22
12M 2019,1.5,0.61,0.51,1.99,0.0,0.0,0.47,0.26,0.99
12M 2020,1.4,0.58,0.46,1.93,0.0,0.0,0.42,0.24,0.93
12M 2021,1.54,0.86,0.4,1.85,0.0,0.0,0.36,0.21,0.85
12M 2022,1.85,0.82,0.35,1.65,0.0,0.0,0.28,0.21,0.65
12M 2023,1.93,0.9,0.34,1.65,0.0,0.0,0.28,0.21,0.64
12M 2024,2.03,1.04,0.35,1.62,0.0,0.0,0.26,0.22,0.62
