Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,5 B,(5 B),0 B,0.18
12M 2012,9 B,(7 B),2 B,1.30
12M 2013,12 B,(7 B),5 B,2.74
12M 2014,16 B,(8 B),9 B,4.59
12M 2015,34 B,(17 B),17 B,9.06
12M 2016,4 B,(10 B),(6 B),-3.09
12M 2017,(29 B),(12 B),(41 B),-22.11
12M 2018,16 B,(10 B),6 B,3.28
12M 2019,14 B,(5 B),8 B,4.50
12M 2020,7 B,(1 B),6 B,3.19
12M 2021,7 B,(2 B),6 B,2.96
12M 2022,12 B,(3 B),9 B,4.66
12M 2023,1 B,(4 B),(3 B),-1.73
12M 2024,4 B,(3 B),1 B,0.52
