Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,085 B","(1,464 B)",(379 B),-11.85
12M 2009,"7,097 B","(1,114 B)","5,983 B",187.05
12M 2010,"2,590 B","(2,251 B)",339 B,10.60
12M 2011,"6,460 B","(5,673 B)",787 B,24.61
12M 2012,"4,184 B","(4,742 B)",(558 B),-17.43
12M 2013,"8,804 B","(2,199 B)","6,605 B",206.51
12M 2014,"7,366 B","(1,286 B)","6,080 B",190.09
12M 2015,"7,057 B","(1,396 B)","5,662 B",177.01
12M 2016,"9,076 B","(1,476 B)","7,601 B",237.63
12M 2017,"11,566 B","(2,523 B)","9,043 B",282.72
12M 2018,"13,118 B","(5,967 B)","7,151 B",223.57
12M 2019,"12,751 B","(6,487 B)","6,264 B",195.83
12M 2020,"10,387 B","(2,500 B)","7,887 B",246.57
12M 2021,"20,508 B","(2,580 B)","17,928 B",560.49
12M 2022,"60,251 B","(6,293 B)","53,958 B",1686.94
12M 2023,"17,797 B","(9,075 B)","8,723 B",272.71
12M 2024,"32,575 B","(13,531 B)","19,044 B",619.14
