Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,31.99 B,41.35,11.73,0.86,,3.92%,9.44%,31.20%,6.83
12M 2009,31.99 B,139.41,12.41,2.05,,10.50%,25.56%,32.30%,10.84
12M 2010,31.99 B,74.45,34.25,3.30,,5.87%,12.82%,19.56%,6.46
12M 2011,31.99 B,156.03,11.34,1.57,,9.73%,22.59%,29.45%,10.72
12M 2012,31.99 B,116.50,13.65,1.41,,5.76%,15.06%,16.13%,7.07
12M 2013,31.99 B,88.18,12.36,0.87,,3.43%,8.55%,10.13%,4.58
12M 2014,31.99 B,69.30,15.01,0.80,,2.78%,6.44%,8.60%,2.60
12M 2015,31.99 B,63.82,8.07,0.46,,2.48%,5.16%,6.08%,5.46
12M 2016,31.99 B,139.22,12.17,1.61,,5.08%,10.53%,10.10%,11.75
12M 2017,31.99 B,202.23,9.20,1.36,,7.01%,13.77%,15.84%,17.96
12M 2018,31.99 B,186.09,6.53,0.75,"17,752.74 B",5.82%,11.26%,14.76%,13.70
12M 2019,31.99 B,178.76,8.70,1.02,"14,233.82 B",5.70%,11.03%,10.06%,9.31
12M 2020,31.99 B,66.96,21.36,1.24,"10,703.61 B",2.38%,4.09%,5.29%,3.19
12M 2021,31.99 B,417.68,5.39,1.26,"28,825.56 B",12.33%,22.62%,26.88%,18.34
12M 2022,31.99 B,1159.48,3.32,1.02,"71,834.90 B",22.06%,39.48%,58.57%,48.24
12M 2023,31.99 B,782.82,3.04,2.34,"15,789.16 B",15.49%,23.95%,9.02%,11.86
12M 2024,30.76 B,711.12,3.42,2.27,"15,651.36 B",20.20%,27.48%,9.95%,13.14
