Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.73 B,-176.79,-3.22,1.30,,-3.85%,-45.18%,5.56%,0.73
12M 2009,2.73 B,-1017.07,-0.34,0.35,,-29.97%,182.97%,10.45%,0.43
12M 2010,2.73 B,-783.86,-0.34,0.32,,-27.09%,56.87%,-410.88%,0.27
12M 2011,2.73 B,1446.90,0.11,0.20,,974.30%,1365.53%,-39.26%,0.09
12M 2012,2.73 B,3.93,31.30,1.37,,2.65%,3.55%,1.13%,0.81
12M 2013,3.96 B,-0.33,-175.76,1.35,,-0.27%,-0.37%,1.86%,1.00
12M 2014,3.96 B,-11.27,-4.44,1.40,,-8.66%,-13.53%,1.76%,0.56
12M 2015,3.96 B,-3.39,-14.75,1.35,,-2.80%,-4.28%,2.85%,0.78
12M 2016,3.96 B,-9.49,-5.27,1.73,,-9.40%,-15.56%,-1.83%,-0.50
12M 2017,3.96 B,-4.77,-10.48,1.63,,-5.05%,-8.40%,2.80%,0.73
12M 2018,3.96 B,0.58,86.21,1.54,31.49 B,0.72%,1.04%,3.85%,1.07
12M 2019,3.96 B,-0.71,-70.42,1.51,25.39 B,-0.80%,-1.21%,3.01%,0.96
12M 2020,3.96 B,-4.55,-10.99,2.28,8.38 B,-5.69%,-8.43%,-2.58%,-0.91
12M 2021,3.96 B,-3.31,-15.11,2.31,11.29 B,-4.34%,-6.48%,-2.24%,
12M 2022,3.96 B,-7.98,-6.27,2.35,12.97 B,-11.80%,-18.45%,-1.86%,
12M 2023,3.96 B,-2.64,-2.65,0.36,10.83 B,-4.30%,-6.54%,-1.96%,
12M 2024,3.96 B,-1.86,-4.84,0.54,6.10 B,-3.11%,-4.81%,-2.43%,
