Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,500 B,(123 B),377 B,137.88
12M 2009,994 B,(358 B),635 B,232.60
12M 2010,980 B,(184 B),796 B,291.46
12M 2011,457 B,(341 B),116 B,42.35
12M 2012,32 B,(58 B),(26 B),-9.41
12M 2013,11 B,(52 B),(40 B),-10.20
12M 2014,44 B,(90 B),(45 B),-11.46
12M 2015,0 B,(10 B),(10 B),-2.48
12M 2016,19 B,(3 B),16 B,4.15
12M 2017,28 B,(15 B),12 B,3.11
12M 2018,13 B,(11 B),2 B,0.46
12M 2019,26 B,(64 B),(38 B),-9.68
12M 2020,23 B,(9 B),14 B,3.58
12M 2021,7 B,(3 B),4 B,0.98
12M 2022,18 B,(3 B),15 B,3.74
12M 2023,6 B,(5 B),1 B,0.29
12M 2024,7 B,(3 B),4 B,0.97
