Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,7.06 B,60.84,8.22,0.80,,14.31%,18.46%,37.85%,
12M 2009,7.06 B,47.39,13.08,1.02,,10.43%,13.54%,13.55%,
12M 2010,7.10 B,49.99,17.00,1.26,,10.18%,13.23%,13.55%,
12M 2011,7.10 B,53.21,13.53,1.00,,10.04%,13.29%,13.06%,
12M 2012,7.10 B,59.71,20.43,1.52,,10.40%,13.93%,14.45%,
12M 2013,7.10 B,55.04,19.26,1.25,,8.92%,12.14%,12.18%,
12M 2014,7.10 B,50.04,15.79,0.96,,7.80%,10.57%,8.52%,
12M 2015,7.10 B,47.36,13.62,0.83,,7.35%,10.08%,6.96%,
12M 2016,7.10 B,57.56,20.76,1.45,,8.79%,12.24%,10.15%,
12M 2017,7.10 B,57.30,20.94,1.51,,8.31%,11.64%,10.07%,
12M 2018,7.10 B,82.74,17.16,1.76,782.31 B,11.20%,15.34%,15.19%,
12M 2019,7.10 B,91.30,11.66,1.35,762.15 B,11.47%,15.54%,13.42%,
12M 2020,7.10 B,-19.57,-39.60,2.18,193.13 B,-2.63%,-3.73%,-5.73%,-7.13
12M 2021,7.10 B,24.04,27.25,1.79,585.43 B,3.35%,4.74%,3.64%,5.36
12M 2022,7.10 B,49.61,11.49,1.35,786.59 B,6.72%,9.44%,9.30%,11.92
12M 2023,7.10 B,42.33,12.17,1.33,569.71 B,6.14%,8.40%,5.94%,8.69
12M 2024,7.10 B,44.26,8.31,0.95,560.05 B,6.34%,8.78%,6.32%,8.22
