Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,602 B,(316 B),286 B,40.56
12M 2009,484 B,(213 B),271 B,38.40
12M 2010,560 B,(254 B),306 B,43.16
12M 2011,792 B,(163 B),629 B,88.65
12M 2012,824 B,(228 B),596 B,84.04
12M 2013,831 B,(422 B),410 B,57.73
12M 2014,923 B,(127 B),796 B,112.15
12M 2015,658 B,(145 B),513 B,72.26
12M 2016,757 B,(120 B),637 B,89.72
12M 2017,852 B,(140 B),711 B,100.26
12M 2018,787 B,(108 B),679 B,95.75
12M 2019,"1,076 B",(133 B),942 B,132.80
12M 2020,168 B,(66 B),102 B,14.37
12M 2021,450 B,(59 B),391 B,55.06
12M 2022,695 B,(99 B),596 B,84.05
12M 2023,651 B,(169 B),482 B,67.86
12M 2024,776 B,(193 B),583 B,82.19
