Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.97,2.14,0.0,1.29,0.0,0.0,-0.36,0.0,0.29
12M 2009,2.81,1.79,0.0,1.3,0.0,0.0,-0.27,0.0,0.3
12M 2010,2.85,1.78,0.0,1.3,0.0,0.0,-0.3,0.0,0.3
12M 2011,2.73,1.82,0.0,1.32,0.0,0.0,-0.33,0.0,0.32
12M 2012,2.66,1.79,0.0,1.34,0.0,0.0,-0.38,0.0,0.34
12M 2013,2.46,1.56,0.0,1.36,0.0,0.0,-0.27,0.0,0.36
12M 2014,2.79,1.95,0.0,1.36,0.0,0.0,-0.19,0.0,0.36
12M 2015,2.95,2.09,0.0,1.37,0.0,0.0,-0.25,0.0,0.37
12M 2016,2.81,1.98,0.0,1.39,0.0,0.0,-0.18,0.0,0.39
12M 2017,2.95,2.24,0.0,1.4,0.0,0.0,-0.22,0.0,0.4
12M 2018,3.25,2.47,0.0,1.37,0.0,0.0,-0.51,0.0,0.37
12M 2019,3.54,2.84,0.0,1.36,0.0,0.0,-0.53,0.0,0.36
12M 2020,3.46,2.92,0.0,1.42,0.0,0.0,-0.42,0.0,0.42
12M 2021,3.59,2.94,0.0,1.41,0.0,0.0,-0.44,0.0,0.41
12M 2022,3.66,3.0,0.0,1.4,0.0,0.0,-0.58,0.0,0.4
12M 2023,3.73,3.06,0.0,1.37,0.0,0.0,-0.34,0.0,0.37
12M 2024,3.61,3.08,0.0,1.39,0.0,0.0,-0.29,0.0,0.39
