Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.92 B,60.17,6.51,0.56,,7.50%,19.50%,48.47%,4.34
12M 2009,1.84 B,35.44,4.18,0.38,,7.91%,18.99%,24.32%,3.60
12M 2010,1.84 B,43.65,6.69,0.65,,9.18%,19.60%,26.05%,4.72
12M 2011,1.84 B,51.62,7.05,0.72,,11.39%,19.91%,26.12%,7.22
12M 2012,1.84 B,85.25,19.24,2.70,,16.69%,26.27%,37.09%,17.27
12M 2013,7.34 B,32.03,25.60,4.25,,20.71%,31.05%,46.44%,47.06
12M 2014,7.34 B,35.32,24.63,3.97,,20.59%,28.83%,39.31%,60.21
12M 2015,7.34 B,9.51,52.58,2.84,,4.88%,7.93%,11.68%,12.91
12M 2016,7.34 B,12.32,42.21,2.52,,5.86%,9.69%,13.45%,7.01
12M 2017,7.34 B,16.46,20.78,1.45,,7.55%,11.92%,16.56%,8.84
12M 2018,7.34 B,21.33,19.69,1.56,326.68 B,9.48%,14.51%,18.84%,14.90
12M 2019,7.34 B,29.36,14.85,1.49,393.35 B,11.98%,18.61%,23.42%,33.40
12M 2020,7.34 B,44.00,15.45,2.26,523.78 B,16.39%,25.16%,31.94%,40.07
12M 2021,7.34 B,64.14,12.47,2.30,700.64 B,20.99%,30.41%,39.66%,133.47
12M 2022,7.34 B,78.49,12.68,2.82,838.77 B,22.34%,31.94%,42.03%,96.86
12M 2023,7.34 B,60.65,10.96,1.99,675.87 B,16.99%,24.42%,29.18%,51.92
12M 2024,7.34 B,58.02,11.89,1.92,649.25 B,16.01%,23.10%,27.47%,39.06
