Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"(5,963 B)",(33 B),"(5,996 B)",-5995906000000.00
12M 2009,"(1,412 B)",(14 B),"(1,426 B)",-1425978000000.00
12M 2010,617 B,(3 B),614 B,614288000000.00
12M 2011,(300 B),(26 B),(326 B),-325810000000.00
12M 2012,81 B,(3 B),78 B,78003000000.00
12M 2013,(757 B),(3 B),(760 B),-760175000000.00
12M 2014,799 B,(6 B),793 B,792714000000.00
12M 2015,"(2,828 B)",(4 B),"(2,831 B)",-2831275000000.00
12M 2016,(254 B),(9 B),(263 B),-262723000000.00
12M 2017,(135 B),(16 B),(151 B),-151164000000.00
12M 2018,"1,235 B",(21 B),"1,213 B",121.18
12M 2019,(103 B),(9 B),(112 B),-11.18
12M 2020,"(2,080 B)",(9 B),"(2,089 B)",-208.66
12M 2021,"1,529 B",(13 B),"1,516 B",107.20
12M 2022,(65 B),(27 B),(92 B),-5.09
12M 2023,"2,377 B",(15 B),"2,362 B",130.40
12M 2024,"(1,187 B)",(231 B),"(1,417 B)",-78.27
