Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.00 B,-7281150000000.00,-0.00,0.00,,-130.35%,474.21%,-248.84%,
12M 2009,0.00 B,265483000000.00,0.00,0.00,,3.53%,46.65%,3.70%,
12M 2010,0.00 B,217963000000.00,0.00,0.00,,2.02%,28.15%,2.43%,
12M 2011,0.00 B,260445000000.00,0.00,0.00,,1.98%,26.00%,1.97%,
12M 2012,0.00 B,145595000000.00,0.00,0.00,,0.96%,11.70%,0.93%,
12M 2013,0.00 B,-1136045000000.00,-0.00,0.00,,-7.79%,-82.62%,-7.85%,
12M 2014,0.00 B,-662006000000.00,-0.00,0.00,,-5.22%,-64.93%,-3.67%,
12M 2015,0.00 B,-676010000000.00,-0.00,0.00,,-5.13%,-67.73%,-5.01%,
12M 2016,0.00 B,-718722000000.00,-0.00,0.00,,-4.47%,-53.11%,-3.22%,
12M 2017,0.00 B,121534000000.00,0.00,0.00,,0.71%,8.04%,0.68%,
12M 2018,10.01 B,-40.06,-124812.78,35085.62,(282.25 B),-2.25%,-30.50%,-1.74%,
12M 2019,10.01 B,4.94,1012145.75,44213.67,39.30 B,0.29%,2.96%,0.07%,
12M 2020,10.01 B,-48.39,-14.47,7.16,(511.19 B),-2.99%,-33.57%,-3.49%,
12M 2021,14.14 B,-31.50,-6.54,2.94,(454.93 B),-2.09%,-16.75%,-2.82%,
12M 2022,18.11 B,4.78,36.40,1.88,114.67 B,0.26%,2.32%,0.16%,
12M 2023,18.11 B,1.54,77.92,0.86,96.91 B,0.07%,0.74%,0.07%,
12M 2024,18.11 B,0.16,1168.75,1.12,171.41 B,0.01%,0.07%,0.25%,
