Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2010,25.41,24.18,1.16,2.29,1.16,0.51,1.02,0.51,1.17
12M 2011,4.55,4.37,2.24,3.44,0.0,0.0,2.22,0.65,2.32
12M 2012,0.2,0.18,0.74,1.89,0.0,0.0,0.73,0.39,0.84
12M 2013,0.37,0.29,0.13,1.34,0.0,0.0,0.13,0.1,0.31
12M 2014,0.18,0.15,0.17,1.39,0.0,0.0,0.16,0.12,0.36
12M 2015,0.14,0.11,0.21,1.48,0.0,0.0,0.21,0.14,0.45
12M 2016,0.11,0.08,0.22,1.47,0.0,0.0,0.22,0.15,0.47
12M 2017,0.07,0.06,0.29,1.69,0.0,0.0,0.28,0.17,0.67
12M 2018,1.23,1.19,1.18,2.59,0.0,0.0,1.17,0.45,1.58
12M 2019,0.38,0.36,1.58,3.48,0.0,0.0,1.58,0.45,2.47
12M 2020,0.7,0.69,3.65,7.25,0.0,0.0,3.64,0.5,6.23
12M 2021,0.32,0.31,4.26,10.02,0.0,0.0,4.23,0.43,8.99
