Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,1.00 B,7.18,0.00,0.00,,3.15%,5.20%,22.46%,2.24
12M 2013,1.00 B,3.19,0.00,0.00,,1.33%,2.21%,6.25%,1.31
12M 2014,0.35 B,5.62,36.30,0.50,,0.55%,0.72%,1.98%,0.74
12M 2015,0.35 B,-4.73,-25.79,0.26,,-0.49%,-0.61%,-0.81%,-0.43
12M 2016,0.35 B,-81.40,-2.70,0.61,,-9.23%,-11.38%,-10.69%,-8.32
12M 2017,0.35 B,-109.95,-0.85,0.31,,-14.97%,-18.16%,-15.13%,-10.39
12M 2018,0.35 B,-85.35,-1.25,0.37,6.52 B,-9.57%,-11.15%,-11.00%,-18.55
12M 2019,0.35 B,-19.59,-6.69,0.37,20.61 B,-2.27%,-2.63%,-2.54%,-3.92
12M 2020,0.35 B,-122.93,-1.63,1.08,(11.91 B),-15.91%,-19.72%,-15.11%,-23.87
12M 2021,0.35 B,-75.62,-2.67,1.01,4.97 B,-11.06%,-13.78%,-10.44%,-17.03
12M 2022,0.35 B,-60.89,-3.09,0.71,9.76 B,-9.48%,-12.48%,-9.17%,-15.83
12M 2023,0.35 B,-2.22,-81.08,0.68,4.24 B,-0.22%,-0.25%,-0.80%,-2.01
12M 2024,0.35 B,-47.72,-3.42,0.70,(2.36 B),-4.99%,-5.76%,-7.46%,-30.51
