Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,0.22,0.15,0.41,1.65,0.0,0.0,0.4,0.25,0.65
12M 2013,0.24,0.15,0.41,1.66,0.0,0.0,0.4,0.25,0.66
12M 2014,0.61,0.51,0.14,1.31,0.0,0.0,0.08,0.11,0.31
12M 2015,0.99,0.87,0.08,1.24,0.0,0.0,0.02,0.07,0.24
12M 2016,0.99,0.84,0.11,1.23,0.0,0.0,0.04,0.09,0.23
12M 2017,1.39,1.18,0.04,1.21,0.0,0.0,-0.05,0.03,0.21
12M 2018,1.65,1.37,0.06,1.16,0.0,0.0,-0.0,0.05,0.16
12M 2019,2.28,1.86,0.06,1.16,0.0,0.0,-0.01,0.05,0.16
12M 2020,0.8,0.52,0.07,1.24,0.0,0.0,0.07,0.06,0.24
12M 2021,1.01,0.67,0.06,1.25,0.0,0.0,0.06,0.05,0.25
12M 2022,0.75,0.58,0.05,1.32,0.0,0.0,0.04,0.04,0.32
12M 2023,0.85,0.65,0.02,1.17,0.0,0.0,0.02,0.02,0.17
12M 2024,0.75,0.54,0.02,1.15,0.0,0.0,0.02,0.02,0.15
