Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.42 B,2.59,57.53,1.47,,1.63%,2.42%,13.74%,
12M 2009,1.42 B,1.00,62.00,0.60,,0.62%,0.94%,3.90%,
12M 2010,2.76 B,0.67,416.42,4.32,,0.46%,1.66%,2.79%,
12M 2011,2.76 B,1.47,81.63,1.33,,0.95%,3.51%,1.28%,
12M 2012,2.76 B,1.26,64.29,0.84,,0.79%,2.93%,6.59%,
12M 2013,2.76 B,5.39,18.37,1.01,,3.38%,11.11%,2.99%,
12M 2014,2.76 B,3.00,20.00,0.52,,1.86%,6.07%,-2.87%,-0.70
12M 2015,2.76 B,-13.59,-3.68,0.47,,-9.27%,-36.12%,-5.58%,-1.49
12M 2016,2.76 B,-14.77,-3.39,0.47,,-9.51%,-30.87%,-7.76%,-2.26
12M 2017,2.76 B,-10.08,-4.96,0.51,,-6.49%,-26.74%,-2.90%,-0.90
12M 2018,2.76 B,-7.12,-13.48,1.24,(28.54 B),-3.78%,-9.65%,-11.84%,-3.98
12M 2019,2.76 B,-11.81,-8.98,1.16,(16.91 B),-7.88%,-30.38%,-9.95%,-3.30
12M 2020,2.76 B,-16.30,-5.03,1.42,(27.66 B),-20.26%,62.90%,-34.72%,-6.86
12M 2021,2.76 B,-8.09,-43.76,5.78,(17.41 B),-4.25%,-8.15%,-15.36%,-6.42
12M 2022,3.94 B,-5.59,-27.01,3.49,(21.16 B),-5.66%,-15.11%,-10.82%,-7.72
12M 2023,3.94 B,-11.10,-4.68,1.02,(39.96 B),-16.12%,-226.34%,-37.63%,-12.40
12M 2024,3.94 B,1.91,13.61,0.49,(0.66 B),3.09%,46.23%,-27.16%,-2.92
