Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(49 B),(8 B),(56 B),-95.40
12M 2009,17 B,(5 B),12 B,19.74
12M 2010,(40 B),(15 B),(56 B),-94.40
12M 2011,68 B,(10 B),58 B,97.59
12M 2012,87 B,(28 B),59 B,99.69
12M 2013,40 B,(51 B),(11 B),-18.64
12M 2014,101 B,(60 B),41 B,70.33
12M 2015,26 B,(140 B),(114 B),-193.91
12M 2016,119 B,(143 B),(23 B),-39.74
12M 2017,87 B,(97 B),(10 B),-16.54
12M 2018,147 B,(38 B),109 B,184.61
12M 2019,184 B,(9 B),175 B,297.04
12M 2020,231 B,(5 B),226 B,382.68
12M 2021,308 B,(181 B),128 B,216.45
12M 2022,313 B,(316 B),(3 B),-5.50
12M 2023,458 B,(80 B),377 B,639.86
12M 2024,448 B,(211 B),237 B,402.02
