Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.17 B,153.68,5.34,0.47,,3.20%,15.21%,2.78%,
12M 2012,0.21 B,152.12,6.44,0.55,,3.05%,20.34%,3.54%,
12M 2013,0.21 B,157.15,6.11,0.51,,2.89%,18.40%,3.37%,
12M 2014,0.21 B,271.81,4.73,0.47,,4.21%,25.23%,5.21%,
12M 2015,0.21 B,297.62,7.73,0.70,,4.49%,23.30%,5.49%,
12M 2016,0.21 B,295.39,9.11,0.72,,4.42%,20.42%,4.72%,
12M 2017,0.21 B,283.95,8.03,0.58,,4.29%,17.10%,4.60%,
12M 2018,0.21 B,356.96,6.58,0.53,60.79 B,5.18%,18.88%,3.56%,
12M 2019,0.23 B,268.58,7.48,0.39,77.96 B,4.06%,14.18%,4.00%,
12M 2020,0.30 B,215.41,7.80,0.38,83.88 B,4.32%,13.03%,4.15%,
12M 2021,0.30 B,213.48,7.94,0.32,71.30 B,4.60%,11.83%,3.94%,
12M 2022,0.30 B,284.25,5.73,0.25,100.36 B,5.32%,14.08%,5.58%,
12M 2023,0.30 B,291.79,5.36,0.24,157.48 B,4.80%,13.09%,6.08%,
12M 2024,1.22 B,26.65,12.68,0.25,71.40 B,1.85%,4.71%,2.80%,
