Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2010,0.27,1331.76,0.27,1331.76,,,,,
12M 2011,0.81,1010.37,0.81,1010.37,,,,,
12M 2012,1.31,748.01,1.31,748.01,,,,,
12M 2013,1.12,853.90,1.12,853.90,,,,,
12M 2014,1.19,1077.28,1.19,1077.28,,,,,
12M 2015,1.80,1277.48,1.81,1271.30,,,,,
12M 2016,1.86,1446.71,1.87,1440.53,,,,,
12M 2017,1.37,1660.52,1.37,1660.52,,,,,
12M 2018,1.24,1891.16,1.24,1891.16,,,,,
12M 2019,1.06,1893.79,1.06,1893.79,,,,,
12M 2020,1.02,1653.58,1.02,1653.58,,,,,
12M 2021,0.94,1804.32,0.94,1804.32,,,,,
12M 2022,0.81,2018.15,0.81,2018.15,,,,,
12M 2023,0.70,2229.64,0.70,2229.64,,,,,
12M 2024,0.60,565.64,0.60,565.64,,,,,
