Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,249 B,(45 B),204 B,66.74
12M 2009,144 B,(15 B),129 B,42.19
12M 2010,(36 B),(40 B),(76 B),0.00
12M 2011,164 B,(88 B),76 B,24.79
12M 2012,132 B,(498 B),(366 B),0.00
12M 2013,(307 B),(169 B),(476 B),-37.96
12M 2014,147 B,(25 B),122 B,9.76
12M 2015,394 B,(41 B),354 B,28.21
12M 2016,684 B,(43 B),641 B,51.17
12M 2017,685 B,(228 B),457 B,0.00
12M 2018,(681 B),(93 B),(774 B),-61.75
12M 2019,350 B,(91 B),260 B,20.73
12M 2020,(127 B),(31 B),(158 B),-12.57
12M 2021,86 B,(9 B),77 B,6.18
12M 2022,(535 B),(15 B),(550 B),-43.87
12M 2023,84 B,(94 B),(9 B),-0.75
12M 2024,(5 B),(20 B),(25 B),-1.97
