Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(120 B),(18 B),(138 B),-3682.23
12M 2009,123 B,(6 B),117 B,3110.99
12M 2010,7 B,(76 B),(69 B),-1842.12
12M 2011,(26 B),(189 B),(215 B),-957.16
12M 2012,104 B,(29 B),75 B,238.83
12M 2013,256 B,(129 B),127 B,241.20
12M 2014,66 B,(295 B),(229 B),-348.47
12M 2015,111 B,(49 B),(47 B),94.18
12M 2016,193 B,(17 B),177 B,269.23
12M 2017,320 B,(26 B),,447.68
12M 2018,134 B,(97 B),,55.72
12M 2019,156 B,(202 B),(46 B),-70.85
12M 2020,309 B,(33 B),276 B,420.25
12M 2021,(260 B),(133 B),(393 B),-599.41
12M 2022,291 B,(291 B),(1 B),-1.27
12M 2023,322 B,(201 B),121 B,184.82
12M 2024,306 B,(73 B),232 B,354.16
