Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,415 B,(113 B),302 B,319.68
12M 2008,216 B,(162 B),54 B,56.96
12M 2009,(85 B),(83 B),(168 B),-177.81
12M 2010,(766 B),(77 B),(843 B),-744.29
12M 2011,"(1,544 B)",(203 B),"(1,747 B)",-308.48
12M 2012,"6,621 B",(375 B),"6,245 B",1069.34
12M 2013,"(5,279 B)",(396 B),"(5,675 B)",-971.67
12M 2014,"2,385 B",(463 B),"1,922 B",329.03
12M 2015,"3,498 B",(629 B),"2,869 B",491.22
12M 2016,"2,682 B",(304 B),"2,378 B",407.17
12M 2017,"1,126 B",(324 B),802 B,137.34
12M 2018,"4,586 B",(383 B),"4,203 B",718.23
12M 2019,"(11,971 B)",(325 B),"(12,296 B)",-1508.86
12M 2020,"18,664 B",(194 B),"18,469 B",2266.49
12M 2021,"13,150 B",(219 B),"12,931 B",1586.83
12M 2022,"(4,416 B)",(194 B),"(4,610 B)",-565.76
12M 2023,"(2,397 B)",(215 B),"(2,613 B)",-320.60
12M 2024,"10,830 B",(228 B),"10,602 B",995.83
