Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,0.94 B,368.03,0.00,0.00,,3.28%,28.05%,10.17%,
12M 2008,0.94 B,401.39,2.72,0.43,,2.77%,23.43%,4.88%,
12M 2009,0.94 B,445.39,7.94,0.92,,1.89%,20.63%,3.53%,
12M 2010,1.13 B,738.77,17.87,2.67,,2.42%,19.84%,4.04%,
12M 2011,5.66 B,247.20,13.75,2.58,,3.00%,24.92%,4.42%,
12M 2012,5.84 B,338.85,15.49,3.30,,3.35%,25.59%,4.70%,
12M 2013,5.84 B,364.90,11.78,2.29,,3.06%,21.51%,4.47%,
12M 2014,5.84 B,317.28,12.45,1.88,,2.47%,15.69%,3.50%,
12M 2015,5.84 B,291.40,8.24,1.08,,2.10%,12.54%,3.15%,
12M 2016,5.84 B,300.00,8.80,1.13,,1.92%,11.06%,3.03%,
12M 2017,5.84 B,209.05,11.77,1.02,,1.28%,7.39%,2.12%,
12M 2018,5.85 B,336.37,10.23,1.42,"3,603.44 B",1.93%,10.83%,3.12%,
12M 2019,8.15 B,315.69,10.29,1.39,"4,709.07 B",1.42%,8.61%,2.84%,
12M 2020,8.15 B,214.67,14.49,1.54,"3,573.52 B",0.96%,5.60%,1.44%,
12M 2021,8.15 B,326.99,8.01,1.45,"4,887.50 B",1.39%,7.85%,2.14%,
12M 2022,8.15 B,379.88,6.98,1.36,"5,492.47 B",1.48%,8.39%,2.32%,
12M 2023,8.15 B,289.40,9.05,1.13,"4,227.18 B",1.17%,6.10%,1.69%,
12M 2024,10.65 B,264.23,8.33,0.99,"5,014.78 B",1.17%,5.89%,1.85%,
