Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2009,2.12,2.04,0.0,1.56,0.0,0.0,-0.8,0.0,0.56
12M 2010,5.24,5.1,0.01,1.22,0.0,0.0,-0.74,0.01,0.22
12M 2011,4.46,4.36,0.0,1.27,0.0,0.0,-0.87,0.0,0.27
12M 2012,5.83,5.74,0.0,1.23,0.0,0.0,-0.89,0.0,0.23
12M 2013,5.81,5.74,0.0,1.24,0.0,0.0,-0.79,0.0,0.24
12M 2014,9.04,8.92,0.0,1.18,0.0,0.0,-0.92,0.0,0.18
12M 2015,7.28,7.17,0.0,1.22,0.0,0.0,-0.98,0.0,0.22
12M 2016,0.71,0.71,0.69,1.79,0.0,0.0,0.49,0.39,0.79
12M 2017,0.65,0.65,1.09,2.19,0.0,0.0,1.02,0.5,1.19
12M 2018,0.65,0.65,0.44,2.54,0.0,0.0,0.41,0.17,1.54
12M 2019,3.64,3.64,0.0,1.11,0.0,0.0,-0.3,0.0,0.11
12M 2020,4.28,4.28,0.0,1.09,0.0,0.0,-0.31,0.0,0.09
12M 2021,3.55,3.55,0.0,1.11,0.0,0.0,-0.31,0.0,0.11
12M 2022,3.03,3.03,0.0,1.09,0.0,0.0,-0.21,0.0,0.09
12M 2023,1.8,1.8,0.0,1.1,0.0,0.0,-0.13,0.0,0.1
12M 2024,1.81,1.81,0.0,1.09,0.0,0.0,-0.12,0.0,0.09
