Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,10 B,(2 B),8 B,475883.00
12M 2010,6 B,(10 B),(3 B),-11.99
12M 2011,15 B,(1 B),14 B,47.37
12M 2012,8 B,(1 B),8 B,26.58
12M 2013,12 B,(13 B),(2 B),-6.39
12M 2014,0 B,13 B,13 B,45.64
12M 2015,0 B,(0 B),(0 B),-0.10
12M 2016,(10 B),(28 B),(38 B),-120.68
12M 2017,(5 B),(37 B),(43 B),-136.34
12M 2018,18 B,(41 B),(23 B),-72.42
12M 2019,13 B,(17 B),(4 B),-3.21
12M 2020,24 B,(13 B),11 B,8.68
12M 2021,(14 B),(19 B),(33 B),-26.03
12M 2022,25 B,(35 B),(9 B),-7.37
12M 2023,30 B,(41 B),(12 B),-9.07
12M 2024,34 B,(27 B),7 B,5.72
