Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,6 B,(56 B),(50 B),-65.26
12M 2009,74 B,(26 B),48 B,62.34
12M 2010,17 B,(19 B),(3 B),-3.27
12M 2011,15 B,(393 B),(378 B),-490.45
12M 2012,(75 B),(40 B),(115 B),-149.44
12M 2013,96 B,(21 B),75 B,97.26
12M 2014,63 B,(36 B),27 B,35.00
12M 2015,246 B,(26 B),220 B,285.41
12M 2016,160 B,(26 B),133 B,172.89
12M 2017,31 B,(12 B),19 B,24.83
12M 2018,23 B,(17 B),7 B,9.02
12M 2019,53 B,(169 B),(116 B),-150.50
12M 2020,154 B,(139 B),15 B,19.74
12M 2021,107 B,(35 B),72 B,93.60
12M 2022,103 B,(36 B),66 B,86.06
12M 2023,78 B,(45 B),34 B,43.67
12M 2024,15 B,(25 B),(10 B),-12.71
