Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.17 B,-82.39,-3.03,0.54,,-10.71%,-34.20%,-10.27%,-0.60
12M 2009,1.17 B,26.59,9.40,0.69,,3.55%,9.94%,1.39%,0.18
12M 2010,1.17 B,8.47,26.56,0.59,,1.14%,3.07%,-1.25%,-0.14
12M 2011,1.17 B,-20.58,-8.75,0.52,,-2.86%,-8.06%,-4.82%,-0.84
12M 2012,1.17 B,-12.07,-11.10,0.28,,-1.74%,-4.96%,-4.50%,-0.84
12M 2013,1.17 B,-11.30,-6.99,0.16,,-1.65%,-4.87%,-0.67%,-0.10
12M 2014,1.17 B,-10.97,-9.39,0.23,,-1.66%,-4.96%,-4.88%,-0.68
12M 2015,1.17 B,-8.94,-5.82,0.12,,-1.45%,-4.29%,-5.38%,-0.72
12M 2016,1.17 B,-12.45,-28.92,0.97,,-2.17%,-5.54%,-5.46%,-0.72
12M 2017,1.17 B,-20.25,-18.77,1.29,,-3.91%,-11.16%,-5.28%,
12M 2018,1.17 B,0.95,475.79,1.29,7.52 B,0.20%,0.52%,-2.86%,
12M 2019,1.17 B,-13.89,-38.16,1.75,8.18 B,-3.16%,-8.12%,-2.54%,
12M 2020,1.17 B,-13.11,-43.48,3.03,5.41 B,-3.19%,-8.24%,-3.20%,
12M 2021,1.17 B,48.47,16.71,4.18,0.83 B,12.05%,23.23%,-3.84%,
12M 2022,1.17 B,-5.16,-153.10,3.55,0.58 B,-1.37%,-2.53%,-3.96%,
12M 2023,1.17 B,-5.32,-93.61,2.60,(1.06 B),-1.47%,-2.64%,-4.60%,
12M 2024,1.17 B,-15.36,-16.80,1.28,(0.86 B),-4.52%,-8.18%,-4.27%,
