Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(24 B),(4 B),(28 B),-24.03
12M 2009,6 B,(4 B),2 B,1.58
12M 2010,17 B,(14 B),3 B,2.26
12M 2011,43 B,(15 B),28 B,23.66
12M 2012,54 B,(42 B),12 B,10.04
12M 2013,83 B,(42 B),42 B,35.71
12M 2014,40 B,(24 B),16 B,13.62
12M 2015,29 B,(4 B),25 B,21.51
12M 2016,42 B,(7 B),35 B,29.80
12M 2017,26 B,(1 B),25 B,21.04
12M 2018,15 B,(2 B),13 B,11.30
12M 2019,34 B,(1 B),32 B,27.61
12M 2020,35 B,(1 B),35 B,29.54
12M 2021,(32 B),(4 B),(35 B),-30.25
12M 2022,98 B,(5 B),92 B,78.86
12M 2023,2 B,(1 B),1 B,0.56
12M 2024,2 B,(3 B),(0 B),-0.23
