Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,123 B,(227 B),(104 B),-173.00
12M 2009,71 B,8 B,79 B,130.94
12M 2010,28 B,(3 B),24 B,40.58
12M 2011,(20 B),(57 B),(77 B),-128.14
12M 2012,32 B,(0 B),32 B,52.74
12M 2013,(2 B),(0 B),(2 B),-3.91
12M 2014,50 B,(30 B),20 B,32.58
12M 2015,56 B,,56 B,93.73
12M 2016,(3 B),,(3 B),-5.54
12M 2017,5 B,,5 B,7.61
12M 2018,4 B,,4 B,6.33
12M 2019,14 B,,14 B,23.95
12M 2020,2 B,,2 B,4.07
12M 2021,7 B,(0 B),7 B,11.08
12M 2022,(4 B),(0 B),(4 B),-7.43
12M 2023,(14 B),(0 B),(14 B),-11.82
12M 2024,(4 B),(46 B),(51 B),-42.16
