Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.01,332.07,1.01,332.07,131 B,100 B,231 B,204 B,(11 B)
12M 2009,0.99,313.50,0.99,313.50,103 B,111 B,215 B,208 B,20 B
12M 2010,0.54,321.01,0.54,321.01,114 B,87 B,201 B,185 B,31 B
12M 2011,0.58,316.18,0.58,316.18,179 B,44 B,222 B,209 B,46 B
12M 2012,0.77,291.25,0.77,291.25,166 B,10 B,177 B,156 B,62 B
12M 2013,0.29,291.94,0.29,291.94,149 B,0 B,149 B,147 B,80 B
12M 2014,0.36,244.56,0.36,244.56,139 B,0 B,139 B,136 B,31 B
12M 2015,0.36,139.19,0.36,139.19,81 B,,81 B,78 B,(17 B)
12M 2016,0.43,116.31,0.43,116.31,84 B,,84 B,82 B,(25 B)
12M 2017,0.68,98.87,0.68,98.87,,,,(1 B),39 B
12M 2018,1.13,92.63,1.13,92.63,,,,(1 B),36 B
12M 2019,2.76,23.88,2.76,23.88,,,,(1 B),13 B
12M 2020,0.80,67.32,0.80,67.32,2 B,,2 B,1 B,5 B
12M 2021,2.94,66.69,2.94,66.69,,,,(4 B),6 B
12M 2022,14.54,17.75,14.54,17.75,,,,(1 B),(7 B)
12M 2023,1.78,202.80,1.78,202.80,,,,(203 B),207 B
12M 2024,4.27,183.72,4.30,182.42,,,,(47 B),(171 B)
