Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,0.73 B,666.90,0.00,0.00,,18.61%,30.91%,30.71%,31.52
12M 2008,0.73 B,-18.88,-87.92,0.24,,-0.58%,-0.97%,2.93%,1.48
12M 2009,0.73 B,662.94,3.26,0.33,,17.57%,27.04%,36.69%,13.71
12M 2010,0.73 B,478.15,6.99,0.47,,11.60%,16.99%,21.55%,16.33
12M 2011,3.07 B,23.68,107.26,0.39,,0.50%,1.00%,6.30%,0.95
12M 2012,3.07 B,-275.61,-15.53,0.59,,-5.18%,-12.30%,-3.38%,-0.87
12M 2013,3.29 B,35.93,75.15,0.29,,0.51%,1.14%,2.79%,1.38
12M 2014,3.29 B,68.32,39.81,0.29,,0.94%,2.10%,3.70%,1.57
12M 2015,3.29 B,107.30,29.08,0.56,,1.37%,2.91%,5.52%,3.52
12M 2016,3.29 B,1214.63,15.43,2.40,,13.96%,26.18%,26.24%,13.29
12M 2017,17.83 B,239.13,22.77,3.00,,10.54%,18.93%,22.59%,12.89
12M 2018,17.83 B,145.15,37.04,2.65,"5,651.49 B",5.63%,10.13%,13.07%,6.14
12M 2019,17.83 B,18.15,518.57,6.31,"2,463.78 B",0.67%,1.33%,3.35%,1.54
12M 2020,17.83 B,41.97,196.24,5.58,"2,668.49 B",1.48%,2.94%,3.14%,1.25
12M 2021,21.63 B,100.57,72.82,4.29,"5,048.96 B",3.05%,5.20%,7.52%,3.88
12M 2022,86.51 B,-25.71,-99.96,6.27,(280.82 B),-2.89%,-5.09%,-2.76%,-1.45
12M 2023,86.51 B,-5.92,-886.82,13.78,"1,291.60 B",-0.59%,-1.21%,-0.60%,-0.21
12M 2024,86.51 B,-12.67,-591.95,22.93,924.18 B,-1.20%,-2.58%,-1.18%,-0.36
