Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,543 B,(5 B),539 B,739.66
12M 2008,(86 B),(9 B),(95 B),-130.65
12M 2009,601 B,(20 B),581 B,797.73
12M 2010,579 B,(127 B),452 B,620.84
12M 2011,"1,099 B",(46 B),"1,053 B",343.46
12M 2012,"1,412 B","(1,272 B)",140 B,45.69
12M 2013,"1,877 B","(1,512 B)",364 B,110.79
12M 2014,"1,446 B",(930 B),515 B,156.82
12M 2015,"1,445 B","(2,540 B)","(1,096 B)",-333.33
12M 2016,"6,394 B","(2,798 B)","3,596 B",1094.03
12M 2017,"5,343 B","(1,033 B)","4,310 B",241.70
12M 2018,"5,843 B","(3,365 B)","2,479 B",139.00
12M 2019,"3,310 B","(5,549 B)","(2,239 B)",-125.53
12M 2020,"5,479 B","(4,629 B)",849 B,47.62
12M 2021,"3,168 B","(1,617 B)","1,551 B",71.71
12M 2022,"(3,889 B)","(1,189 B)","(5,078 B)",-58.69
12M 2023,"2,041 B","(1,362 B)",679 B,7.84
12M 2024,"(2,569 B)","(5,918 B)","(8,486 B)",-98.10
