Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.99,1.65,1.78,3.4,0.0,0.0,1.71,0.52,2.39
12M 2009,0.47,0.38,3.4,5.89,0.0,0.0,3.37,0.58,4.87
12M 2010,0.61,0.5,0.64,2.01,0.0,0.0,0.61,0.32,1.0
12M 2011,0.63,0.54,1.17,2.89,0.0,0.0,1.14,0.4,1.87
12M 2012,0.67,0.58,1.3,3.12,0.0,0.0,1.25,0.42,2.08
12M 2013,0.69,0.61,0.9,2.69,0.0,0.0,0.72,0.33,1.66
12M 2014,0.59,0.51,0.63,2.45,0.0,0.0,0.53,0.26,1.44
12M 2015,0.58,0.52,1.06,3.52,0.0,0.0,0.76,0.3,2.67
12M 2016,0.62,0.57,4.87,12.29,0.0,0.0,3.0,0.4,13.12
12M 2017,0.47,0.4,3.41,6.78,0.0,0.0,2.44,0.5,7.28
12M 2018,0.34,0.27,1.36,3.82,0.0,0.0,1.04,0.36,3.37
12M 2019,0.35,0.27,0.82,3.15,0.0,0.0,0.7,0.26,2.66
12M 2020,0.37,0.28,0.6,2.67,0.0,0.0,0.52,0.22,2.0
12M 2021,0.56,0.43,0.37,2.04,0.0,0.0,0.31,0.18,1.18
12M 2022,0.53,0.42,0.3,2.03,0.0,0.0,0.22,0.15,1.16
12M 2023,0.67,0.56,0.41,2.09,0.0,0.0,0.29,0.2,1.2
12M 2024,0.59,0.49,0.55,2.17,0.0,0.0,0.48,0.26,1.27
