Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.70 B,59.98,0.00,0.00,,15.97%,23.18%,36.31%,14.62
12M 2014,1.00 B,24.59,14.72,1.28,,6.73%,8.56%,14.83%,11.94
12M 2015,1.00 B,28.34,11.93,1.07,,7.40%,9.19%,12.91%,19.11
12M 2016,1.00 B,19.31,16.36,0.97,,4.84%,6.06%,7.44%,15.17
12M 2017,1.00 B,27.66,12.08,0.89,,5.80%,7.44%,9.77%,17.60
12M 2018,1.00 B,12.81,22.17,0.77,32.00 B,2.61%,3.40%,5.15%,6.35
12M 2019,1.00 B,7.08,42.66,0.73,28.29 B,1.36%,1.87%,3.95%,3.53
12M 2020,1.00 B,1.07,224.30,0.73,22.27 B,0.21%,0.28%,2.46%,1.47
12M 2021,1.00 B,-98.86,-2.55,0.88,(61.47 B),-20.07%,-29.30%,-18.79%,-11.09
12M 2022,1.00 B,-9.09,-25.74,0.53,24.64 B,-1.85%,-2.78%,3.30%,1.84
12M 2023,1.00 B,4.20,39.29,0.36,33.75 B,0.94%,1.50%,6.56%,3.27
12M 2024,1.00 B,15.80,11.77,0.40,40.18 B,3.69%,5.45%,9.07%,4.84
