Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2013,1.98,1.4,0.19,1.45,0.0,0.0,-0.04,0.13,0.43
12M 2014,3.08,2.32,0.05,1.27,0.0,0.0,-0.22,0.04,0.26
12M 2015,3.48,2.12,0.04,1.24,0.0,0.0,-0.17,0.03,0.22
12M 2016,3.16,1.9,0.04,1.25,0.0,0.0,-0.16,0.03,0.23
12M 2017,3.37,1.97,0.08,1.28,0.0,0.0,-0.12,0.06,0.25
12M 2018,2.71,1.1,0.08,1.3,0.0,0.0,-0.02,0.06,0.27
12M 2019,2.38,1.0,0.13,1.38,0.0,0.0,0.01,0.09,0.35
12M 2020,2.49,0.93,0.11,1.33,0.0,0.0,0.0,0.08,0.3
12M 2021,1.32,0.58,0.11,1.46,0.0,0.0,0.01,0.07,0.42
12M 2022,1.4,0.55,0.22,1.51,0.0,0.0,0.11,0.14,0.47
12M 2023,1.43,0.54,0.19,1.59,0.0,0.0,0.09,0.12,0.55
12M 2024,1.73,0.82,0.13,1.48,0.0,0.0,-0.02,0.09,0.43
