Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"2,628 B",(562 B),"2,067 B",348.40
12M 2009,"4,246 B","(1,606 B)","2,641 B",445.22
12M 2010,"3,359 B","(3,503 B)",(144 B),-24.23
12M 2011,"4,416 B","(4,191 B)",225 B,37.94
12M 2012,"5,592 B","(3,408 B)","2,184 B",368.20
12M 2013,"6,047 B","(2,685 B)","3,362 B",566.87
12M 2014,"6,721 B","(2,941 B)","3,780 B",637.32
12M 2015,"7,289 B","(5,619 B)","1,669 B",0.00
12M 2016,"5,180 B","(5,155 B)",25 B,4.18
12M 2017,"2,745 B","(3,493 B)",(748 B),-126.05
12M 2018,"4,462 B","(1,796 B)","2,666 B",0.00
12M 2019,"5,609 B","(1,644 B)","3,965 B",668.53
12M 2020,"7,222 B","(1,286 B)","5,936 B",1000.75
12M 2021,"6,894 B","(1,746 B)","5,148 B",867.95
12M 2022,"6,038 B","(1,873 B)","4,165 B",616.84
12M 2023,"5,745 B","(1,757 B)","3,988 B",590.70
12M 2024,"4,244 B","(1,469 B)","2,774 B",411.05
