Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,5.93 B,428.89,9.73,2.03,,23.99%,31.53%,79.58%,129.32
12M 2009,5.93 B,565.24,13.36,3.11,,25.89%,32.88%,45.31%,213.31
12M 2010,5.93 B,616.89,15.32,3.91,,23.51%,30.48%,37.88%,171.98
12M 2011,5.93 B,661.79,17.30,4.15,,19.97%,27.14%,32.81%,177.25
12M 2012,5.93 B,817.20,19.40,4.80,,18.24%,27.94%,32.09%,58.99
12M 2013,5.93 B,905.37,15.63,3.43,,0.00%,25.72%,29.90%,20.76
12M 2014,5.93 B,938.35,17.26,3.56,,16.22%,23.15%,26.24%,18.69
12M 2015,5.93 B,762.28,14.96,2.51,,11.85%,17.11%,19.62%,16.07
12M 2016,5.93 B,762.30,12.04,2.08,,10.22%,15.57%,15.46%,14.38
12M 2017,5.93 B,339.54,29.16,2.11,,4.11%,6.97%,8.77%,4.42
12M 2018,5.93 B,519.11,22.15,2.22,"8,085.03 B",6.02%,9.87%,11.74%,5.09
12M 2019,5.93 B,403.29,29.76,1.76,"8,698.61 B",3.00%,7.41%,11.19%,1.93
12M 2020,5.93 B,470.76,26.39,2.10,,3.58%,8.17%,8.43%,2.43
12M 2021,5.93 B,345.05,21.01,1.17,"8,631.27 B",2.50%,5.31%,7.79%,2.88
12M 2022,6.75 B,350.27,18.77,1.22,"7,946.69 B",2.85%,5.53%,6.75%,3.24
12M 2023,6.75 B,321.48,19.91,1.12,"7,782.03 B",2.65%,5.02%,6.64%,3.24
12M 2024,6.75 B,106.61,30.86,0.61,"5,486.16 B",0.93%,1.64%,3.40%,1.83
