Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,12 B,(1 B),11 B,24.53
12M 2009,24 B,(1 B),22 B,49.71
12M 2010,(5 B),(1 B),(6 B),-12.49
12M 2011,23 B,(11 B),12 B,26.58
12M 2012,1 B,(10 B),(9 B),-21.12
12M 2013,28 B,(8 B),20 B,45.32
12M 2014,26 B,(9 B),16 B,36.67
12M 2015,18 B,(1 B),17 B,38.13
12M 2016,21 B,(6 B),15 B,33.99
12M 2017,28 B,(5 B),23 B,51.80
12M 2018,24 B,(11 B),14 B,30.23
12M 2019,19 B,(9 B),10 B,22.07
12M 2020,(13 B),(2 B),(15 B),-33.18
12M 2021,1 B,(4 B),(3 B),-7.13
12M 2022,15 B,(1 B),14 B,30.26
12M 2023,23 B,(5 B),17 B,38.50
12M 2024,27 B,(4 B),23 B,51.79
