Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.45 B,11.06,38.43,10.06,,2.75%,3.87%,4.26%,
12M 2009,0.45 B,15.08,27.85,9.08,,3.49%,5.02%,2.24%,
12M 2010,0.45 B,2.40,152.08,10.26,,0.57%,0.80%,-2.59%,
12M 2011,0.45 B,54.45,11.20,7.54,,6.36%,15.51%,1.99%,
12M 2012,0.45 B,13.92,22.63,1.51,,1.68%,3.81%,4.62%,
12M 2013,0.45 B,16.40,12.50,0.90,,2.03%,4.30%,4.73%,
12M 2014,0.45 B,15.08,22.08,1.61,,1.86%,3.85%,3.33%,
12M 2015,0.45 B,3.49,109.17,2.13,,0.43%,0.89%,-0.27%,
12M 2016,0.45 B,5.21,53.74,1.51,,0.63%,1.32%,0.60%,
12M 2017,0.45 B,13.77,28.03,1.95,,1.60%,3.36%,2.49%,
12M 2018,0.45 B,14.27,91.80,6.69,19.49 B,1.48%,3.29%,0.85%,
12M 2019,0.45 B,5.55,81.08,2.34,13.14 B,0.56%,1.25%,-0.91%,
12M 2020,0.45 B,-11.10,-23.06,3.47,5.39 B,-1.26%,-2.66%,-2.76%,
12M 2021,0.45 B,-4.85,-494.85,26.48,(3.46 B),-0.57%,-1.17%,-5.47%,
12M 2022,0.45 B,3.28,823.17,20.85,6.03 B,0.41%,0.73%,-2.62%,
12M 2023,0.45 B,3.09,970.87,17.24,13.73 B,0.48%,0.87%,-0.31%,
12M 2024,0.45 B,28.97,79.74,9.81,22.04 B,4.42%,7.66%,2.41%,
