Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.07 B,4185.74,0.00,0.00,,20.93%,44.48%,6.75%,3.01
12M 2013,0.07 B,1207.09,0.00,0.00,,4.92%,10.43%,9.30%,2.93
12M 2014,4.00 B,71.61,0.00,0.00,,13.39%,19.82%,7.06%,2.60
12M 2015,5.71 B,20.02,39.91,27.93,,3.57%,4.49%,4.84%,2.35
12M 2016,5.71 B,59.88,11.44,22.33,,8.63%,11.84%,3.48%,2.52
12M 2017,6.89 B,36.62,15.57,18.81,,4.70%,6.66%,3.24%,2.73
12M 2018,6.89 B,32.00,16.25,11.97,220.05 B,3.62%,5.50%,3.98%,4.56
12M 2019,6.89 B,16.43,12.05,4.08,249.51 B,1.68%,2.75%,4.06%,4.57
12M 2020,6.89 B,-22.04,-13.52,6.10,216.14 B,-2.26%,-3.83%,3.35%,2.13
12M 2021,6.89 B,28.86,19.58,12.30,199.87 B,2.80%,4.77%,2.97%,3.99
12M 2022,6.89 B,15.56,30.46,9.76,217.45 B,1.40%,2.51%,3.04%,2.93
12M 2023,6.89 B,13.40,22.24,5.89,217.96 B,1.38%,2.09%,3.26%,1.56
12M 2024,6.89 B,35.10,14.53,10.23,206.42 B,3.72%,5.18%,3.31%,1.27
