Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.56 B,126.46,7.59,0.93,,11.11%,13.94%,38.85%,
12M 2009,0.56 B,129.06,11.85,0.99,,9.22%,13.02%,19.46%,
12M 2010,1.12 B,99.00,11.82,1.41,,12.98%,17.31%,23.73%,
12M 2011,1.12 B,107.96,10.65,1.32,,13.03%,16.61%,21.89%,
12M 2012,1.12 B,132.95,12.71,1.74,,13.86%,17.69%,23.54%,
12M 2013,1.12 B,112.32,19.59,2.24,,10.57%,13.75%,17.99%,
12M 2014,1.12 B,72.26,23.39,1.71,,6.55%,8.41%,9.30%,
12M 2015,1.12 B,96.33,13.50,1.11,,7.84%,11.08%,11.86%,
12M 2016,1.12 B,135.79,12.92,1.35,,9.93%,14.09%,18.21%,
12M 2017,1.12 B,144.87,13.53,1.39,,9.89%,14.53%,18.67%,
12M 2018,1.12 B,179.15,10.83,1.28,317.06 B,11.92%,16.72%,21.68%,
12M 2019,1.12 B,198.02,11.36,1.39,347.93 B,12.12%,16.98%,22.33%,
12M 2020,1.12 B,144.71,16.72,1.48,239.59 B,8.16%,12.22%,14.94%,2681.07
12M 2021,1.12 B,131.01,20.99,1.62,243.97 B,7.03%,10.63%,14.28%,1689.44
12M 2022,1.12 B,133.37,17.77,1.38,259.66 B,7.43%,10.64%,13.15%,1158.92
12M 2023,1.12 B,130.66,12.74,0.99,253.95 B,7.17%,10.42%,12.40%,2783.27
12M 2024,1.12 B,139.42,11.48,0.86,274.61 B,7.22%,10.78%,13.17%,4018.74
